undermining	disobey
contorting	twist
fart	reflex
probation	trial_period
poor	people
graduate	scholar
farm	workplace
definitions	explanation
invented	create_by_mental_act
grief	sorrow
glimpses	look
poof	gay_man
persona	portrayal
enduring	permit
ingenue	actor
moviemaking	devising
harks	listen
pool	excavation
motorcycles	motor_vehicle
moratorium	delay
adapted	change
kraft	wrapping_paper
giggles	laugh
pearls	jewel
goulash	stew
shocks	stupefaction
charged	rush
pony	horse
jerky	meat
providing	give
fate	happening
dramatizing	write
weeks	time_period
criterion	system_of_measurement
primer	textbook
pore	hole
relays	passage
insistence	demand
manual	handbook
pork	meat
prowess	superior_skill
playfulness	levity
porn	creation
craftsmanship	skill
founding	beginning
close	end
chemistry	natural_science
winners	contestant
grieving	suffer
irk	anger
instalment	broadcast
scented	cause_to_be_perceived
massacres	murder
embarrassment	shame
disdain	dislike
actresses	actor
screwing	sexual_intercourse
fast	abstinence
grating	barrier
invasion	penetration
trials	attempt
workout	effort
precedent	example
falsehoods	statement
grocery	marketplace
characterization	description
crashing	descend
malaise	discomfort
frontal	adornment
nine	digit
communicate	convey
astronauts	traveler
senses	awareness
foreman	supervisor
annoyance	psychological_state
blonde	person
acclaim	approval
pushes	propulsion
epiphany	manifestation
acid	compound
copycat	person
post	position
masquerade	party
stomps	social_dancing
blush	good_health
repeating	continuance
coping	brick
wearer	user
pose	affectedness
erupt	begin
its	engineering
wrapping	covering
succumbing	accept
mesmerised	charm
respect	detail
shelf	support
retreat	withdrawal
fusion	union
ache	pain
shell	ammunition
guys	man
carnivore	placental
milquetoast	coward
retread	car_tire
semen	liquid_body_substance
applauded	gesticulate
trounce	beat
wallflower	flower
billy	club
production	act
plotted	plan
united	join
yawner	person
directors	administrator
choose	decide
treachery	disloyalty
anchors	hook
paste	composition
politesse	courtesy
miles	linear_unit
skipped	neglect
undo	change_by_reversal
burgeoning	grow
grandeur	elegance
mixture	substance
strikes	job_action
cheats	rye_grass
infuses	drill
bills	legal_document
surveillance	police_work
hide-and-seek	child
lyrics	text
pour	move
infused	drill
drenched	flood
improvement	transformation
pyrotechnics	brilliance
tarantula	wolf_spider
ivy	vine
objectivity	judgment
histrionics	performance
uniqueness	individuality
clone	double
pasts	time
pledge	security_interest
pushed	move
pasty	meat_pie
college	body
russians	native
configurations	design
arithmetic	pure_mathematics
sanity	mental_health
motherhood	kinship
variation	change
shag	tobacco
number	amount
liana	vine
kitsch	art
slack	debris
centers	area
property	possession
debris	rubbish
stills	photograph
jerry	german
viewpoint	position
luster	brightness
nothing	relative_quantity
testing	experiment
volumes	measure
sporting	have
handle	appendage
isolation	separation
resorts	hotel
impacts	contact
tough	combatant
script	dramatic_composition
animation	being
masses	group
patronizing	support
waltzed	dance
woodman	rustic
fiddle	bowed_stringed_instrument
catholic	christian
silver	conductor
urges	motivation
fundamentals	principle
fathers	parent
city	municipality
highbrow	intellectual
torments	pain
courage	spirit
local	public_transport
bloodsucker	annelid
dazed	blind
bubble	globule
advertised	announce
yield	production
blaxploitation	exploitation
decisions	choice
saddled	attach
drained	run
rests	part
filled	change
satisfaction	contentment
alternates	stand-in
marmite	soup
demographic	statistic
heartening	encourage
pablum	cereal
sham	imitation
lioness	lion
filler	sealing_material
bubbly	sparkling_wine
governance	body
mantra	motto
precision	exactness
catcher	infielder
milks	beverage
catches	drawback
spiced	change
points	component
absorbed	sorb
copies	written_record
reap	gather
presume	expect
stocked	have
qualify	suffice
border	boundary
read	publication
slackers	idler
finale	conclusion
telegrams	message
touch	contact
derailed	sabotage
backhanded	hit
couples	pair
real	complex_number
admission	entrance
clock	timepiece
englishmen	english_person
quadrangle	polygon
skateboarder	skater
unit	definite_quantity
hybrid	word
panorama	visual_percept
characterisation	description
tattoos	bugle_call
bombards	bass
coupled	join
collect	prayer
gear	wheel
adherents	follower
entertaining	socialize
ridiculousness	nonsense
humankind	group
ringside	seating
domineering	strong-arm
cleverness	creativity
disappoint	thwart
bristles	fiber
jolting	move
today	present
construction	creating_from_raw_materials
orchestrating	score
predict	guess
saying	speech
universal	rule
fifteen	large_integer
radical	unit
degenerating	worsen
blunt	weaken
warnings	informing
neurotic	sick_person
batman	attendant
minute	time_unit
abbreviated	decrease
blaring	noise
hypothesis	proposal
ferment	turbulence
puppets	figure
comprehend	understand
reason	rational_motive
germanic	indo-european
ship	vessel
strolls	walk
scottish	english
subcontinent	landmass
exalted	praise
sacrificing	release
afterlife	life
humbling	change
identification	determination
uplifting	rise
jam	conserve
modicum	small_indefinite_quantity
annual	plant
jar	vessel
gentle	calm
underbelly	bottom
goodness	quality
shopping	buying
jaw	bone
reef	ridge
using	mistreatment
deeds	activity
reconciled	harmonize
flamboyance	ornateness
sexiness	sexual_desire
pregnancy	physical_condition
marquee	tent
reek	smell
demand	request
reel	film
rings	gymnastic_apparatus
photographs	representation
geek	performer
turkey	domestic_fowl
letter	document
alternatives	decision_making
oleander	poisonous_plant
telescope	magnifier
innuendo	implication
photography	pictorial_representation
imitating	reproduce
accuse	charge
mobility	quality
doses	medicine
hymn	religious_song
housing	structure
ducts	passage
predecessor	precursor
aristocracy	elite
handed	transfer
doubting	disbelieve
worth	indefinite_quantity
visionary	person
tactic	plan_of_action
somebodies	causal_agent
notion	idea
deteriorates	decay
openness	spacing
taken	act
takes	income
pokey	correctional_institution
caper	shrub
broken	end
outweigh	surpass
shear	deformation
intolerance	impatience
stunts	feat
olives	fruit
shifted	change
dilemma	perplexity
solace	comfort
forwards	basketball_player
grips	grasping
castle	mansion
centered	refer
lifetime	time_period
bloodshed	murder
losers	contestant
individuals	causal_agent
challenging	contest
repeated	tell
outshine	shine
debate	discussion
miscalculations	mistake
inhalant	gas
preach	lecture
jet	airplane
herring	saltwater_fish
subjugate	oppress
fragmented	break
machinations	plot
worry	negative_stimulus
watches	timepiece
flattering	praise
sanguine	red
motives	psychological_feature
pondering	think
telephone	electronic_equipment
delicious	eating_apple
worse	bad
rein	strap
bleed	exhaust
screaming	cry
difficulty	effort
adorns	change
longer	person
signals	communication
anti-semitism	racism
colleagues	associate
parties	organization
worst	result
selling	commerce
obsessions	irrational_motive
plainness	purity
leaving	act
sequels	result
shop	mercantile_establishment
distance	spacing
attract	pull
show	entertainment
critique	criticism
description	statement
haywire	wire
augmented	increase
fireballs	meteor
shot	propulsion
cracked	change
pizza	dish
chimps	great_ape
street	thoroughfare
shoe	footwear
situates	determine
molestation	sexual_assault
indomitability	strength
outage	indefinite_quantity
palaver	flattery
substance	matter
vagueness	unclearness
cracker	bread
compensated	balance
sibling	relative
grind	learner
earnestness	gravity
discomfort	condition
cranked	travel
hype	promotion
absorbing	sorb
stranger	intruder
fringes	boundary
milestones	marker
doomed	people
gurus	religious_leader
fancy	misconception
rebel	confederate_soldier
aborted	end
rent	annuity_in_advance
carpenter	woodworker
glancing	look
proficiency	competence
billing	request
humiliated	hurt
channeling	bring
drudgery	labor
flirts	woman
crises	situation
canvas	fabric
understatement	statement
waits	pause
captivated	attract
anxieties	psychological_state
hollow	cavity
epic	poem
spirals	curve
sprawling	position
sunday	rest_day
gems	art
captivates	attract
rely	believe
evaded	avoid
bounds	extremity
refined	better
style	property
merited	be
jimmy	crowbar
flick-knife	pocketknife
cherry	wood
elicited	make
harry	annoy
freezers	electric_refrigerator
guard	defender
settle	bench
self-control	control
australian	inhabitant
babies	child
vehicle	conveyance
beheadings	execution
voyeur	spectator
freedom	state
cushion	damper
criminals	principal
overproduced	grow
plateau	highland
bender	tool
adored	love
architecture	building
scorpion	person
insider	corporate_executive
levity	feeling
stress	prosody
consolation	comfort
shortcomings	disadvantage
vocalized	pronounce
cussing	express
leers	contempt
nomination	appointment
contrivances	device
fashioning	production
grounding	education
ditched	abandon
giggle	laugh
luck	condition
mature	develop
conspiracies	agreement
heathers	heath
transforms	change
reeking	suggest
bonds	attraction
minded	object
influence	power
giggling	laugh
magnolia	bark
responsibilities	social_control
detailing	description
pianist	musician
rainbows	bow
wrapped	cover
videotape	tape
episodes	happening
fixating	bind
crisis	situation
forgiven	concede
crafted	fashion
addiction	physical_condition
glamour	beauty
vaudeville	variety_show
misguided	lead
glimpse	look
detective	policeman
parting	departure
phrase	construction
veteran	serviceman
bones	percussion_instrument
reruns	broadcast
daily	newspaper
affluence	wealth
sheds	outbuilding
harps	chordophone
ropes	line
redundancies	repetitiveness
job	activity
daughter	female_offspring
autopsy	examination
mommy	mother
resurrecting	resuscitate
captain	commissioned_military_officer
footing	status
rotting	decay
sidewalks	walk
highlight	detail
adjective	modifier
bustling	move
joy	emotion
discards	object
sheer	turn
clown	fool
miracle	happening
imitation	doctrine
compliment	praise
denouement	result
adds	syndrome
clout	target
rest	part
miscalculates	misjudge
original	creation
cautions	attentiveness
teleprompter	prompter
slapstick	comedy
insensitivity	inability
gets	return
kingdom	sphere
terrier	hunting_dog
afternoon	day
puppet	figure
bedeviled	harass
investigation	inquiry
front	side
petite	size
recessive	allele
plane	heavier-than-air_craft
equivalent	cognition
stupid	simpleton
howler	joke
constricted	tighten
projects	work
pursuers	follower
wedge	triangle
stripped	take
flickering	move_back_and_forth
plague	epidemic_disease
fascinate	matter_to
canon	rule
offer	speech_act
elicits	make
hooliganism	destruction
fixated	bind
complex	whole
humidity	wetness
bumbling	fail
cinema	medium
rubbish	waste
gaining	obtain
demeaning	humiliate
molly	topminnow
metropolis	municipality
masturbation	autoeroticism
scintillating	emit
astonishing	surprise
tequila	liquor
plastic	solid
plans	idea
commiserating	feel_for
plant	building_complex
kiosks	closet
drive	propulsion
expound	clarify
aristocrats	leader
traits	attribute
spaghetti	pasta
disrobed	take_off
ransacked	take
sixth	rank
sailor	skilled_worker
discouraging	disapprove
audiences	gathering
national	person
masseur	massager
indicate	tell
pabulum	food
customers	consumer
jock	contestant
mannerisms	peculiarity
contain	include
words	speech
benefited	get
medicine	medical_science
matchmaking	mediation
chimes	percussion_instrument
gifted	enable
difficulties	effort
escapades	undertaking
digits	integer
windshield	screen
spider	arachnid
leaping	jump
testimonial	evidence
rooms	apartment
stamina	endurance
needless	simple_leaf
developed	create
larded	cook
shouts	utterance
smallness	size
contact	interaction
unsettling	upset
detachment	indifference
disadvantage	liability
searches	activity
pretentiousness	inelegance
garbage	waste
pulls	propulsion
epitaph	inscription
parts	environment
helps	activity
western	feature
macho	male
party	organization
duties	social_control
reams	large_indefinite_quantity
theatrical	performance
sparkles	expression
sources	point
trained	teach
goose	anseriform_bird
trembling	motion
songbird	oscine
depress	discourage
lucks	condition
disappoints	thwart
enveloped	cover
salute	recognition
riddle	problem
judaism	religion
signs	clue
captured	represent
catharsis	purge
lump	agglomeration
views	orientation
hardwood	wood
tenderness	affectionateness
directed	order
captures	acquiring
wearing	geological_process
dinner	meal
cleaving	tear
trajectory	mechanical_phenomenon
breed	animal_group
chitchat	chat
fulfills	complete
realm	sphere
lull	pause
athleticism	energy
appealing	challenge
merges	integrate
elaborate	clarify
expert	person
fulfill	complete
crowd	gathering
tirade	declamation
sick	people
mikes	electro-acoustic_transducer
candor	impartiality
rerun	broadcast
blacks	achromatic_color
sputters	noise
maiden	girl
compulsive	person
corner	area
majority	number
neurosis	mental_disorder
join	connection
helms	steering_system
costume	attire
reworked	work
gears	wheel
cradles	baby_bed
sentence	string_of_words
bikes	motor_vehicle
director	administrator
chasing	pursue
imitations	doctrine
aggressiveness	drive
accents	pronunciation
ordinary	judge
drink	helping
creepy-crawly	animal
aftertaste	afterimage
verdict	finding
stereo	reproducer
john	room
impulses	motivation
tackling	confront
recommending	propose
reporters	communicator
works	building_complex
brought	transport
signpost	sign
focuses	concentration
drawbacks	disadvantage
extras	actor
plate	base
emerged	appear
flowering	growth
thinking	higher_cognitive_process
cycle	time_interval
world	natural_object
freaks	mutant
composed	constitute
misses	woman
prejudice	partiality
flails	implement
banality	remark
guardian	preserver
fanatic	enthusiast
telegraphs	apparatus
optic	sense_organ
side	region
bread	baked_goods
break	happening
composer	musician
drips	flow
willingness	disposition
deceit	dishonesty
joke	wit
comfort	condition
bacon	cut_of_pork
century	time_period
hide	animal_skin
report	document
skewed	reorient
emerges	appear
skateboarding	skating
powers	quality
married	person
disquieting	disturb
pessimism	despair
auto	motor_vehicle
surfing	water_sport
autopilot	unconsciousness
lament	complaint
knees	hinge_joint
sign	clue
outrage	anger
cotton	plant_fiber
expresses	mail
high	degree
skirts	cloth_covering
pillowcases	bed_linen
falls	perianth
split	acrobatic_stunt
immerse	penetrate
lust	sexual_desire
borstal	reformatory
champagne	sparkling_wine
exudes	excrete
neuroses	mental_disorder
absurdities	nonsense
grenade	bomb
travails	parturition
floats	time_interval
descends	travel
pokes	pokeweed
level	property
roots	condition
modernized	regenerate
lush	drunkard
rambles	amble
establish	open
synthetic	compound
belongs	be
proclaim	entitle
attached	connect
focused	think
graffiti	decoration
modernizes	regenerate
bunch	agglomeration
jolt	blow
errors	nonaccomplishment
parents	genitor
consumed	eat
birthday	anniversary
candy	sweet
scores	large_indefinite_quantity
recipe	direction
parable	story
total	whole
pursued	hunted_person
adrenaline	catecholamine
astounding	surprise
wreaks	make
consumers	user
ills	disorder
loser	contestant
savage	primitive
informs	communicate
plays	dramatic_composition
crudeness	wild
social	party
interesting	arouse
cross	structure
relying	believe
raised	increase
control	power
demanding	request
compositions	placement
drill	tool
coloured	influence
hilarity	gaiety
conjure	make
lobby	room
scored	gain
howling	utterance
pulse	wave
facades	front
stumble	gait
newcomer	novice
cunning	shrewdness
ensnare	deceive
upper	berth
mummy	mother
spiritualism	theological_doctrine
episode	happening
commanding	dominate
decency	propriety
behalf	stead
somewhere	location
scene	area
objective	goal
bathtub	vessel
no-brainer	undertaking
improbabilities	uncertainty
lighten	cheer
self-sacrifice	cooperation
overflows	flow
raises	increase
accomplishments	action
exhibit	evidence
faltering	pause
publishing	commercial_enterprise
exterminator	killer
lighted	lighten
appreciates	acknowledge
chateaus	country_house
sexpot	girl
spirituality	property
brilliance	brightness
swathe	bandage
remaining	be
accept	evaluate
zigzag	angular_shape
ethnicities	quality
yearning	desire
collie	shepherd_dog
appreciated	acknowledge
mystic	believer
roughage	foodstuff
sermonize	preach
access	right
primitive	person
delving	remove
curtains	blind
teens	time_of_life
keg	containerful
recite	perform
captions	exception
artists	creator
ken	knowing
crippled	weaken
specificity	particularity
fancies	misconception
engulfed	concentrate
key	device
situations	state
surprised	affect
misanthropy	hate
plaguing	afflict
addicted	habituate
jaunt	journey
loads	large_indefinite_quantity
lighter	fuel
launch	motorboat
josh	tease
asphalt	paving
wiseacre	upstart
surprises	astonishment
hill	natural_elevation
cloak	covering
knucklehead	stupid
cricket	orthopterous_insect
mortality	impermanence
stoner	attacker
boasts	speech_act
hallelujah	praise
stones	natural_object
fourth	rank
self-hatred	shame
laughing	express_emotion
ignite	burn
sexuality	physiological_property
guiding	control
revelation	speech_act
capitalizes	profit
snipes	shorebird
quest	search
conjured	make
variant	deviation
conjures	make
dynamic	incentive
extreme	degree
hustling	move
demeanor	trait
oppositions	action
zings	sound
studios	workplace
athlete	contestant
sink	plumbing_fixture
degree	property
borscht	soup
inquiries	problem_solving
discord	disorder
dismay	despair
hint	suggestion
recklessness	unthoughtfulness
sing	interpret
demonstrate	show
sublime	change
records	evidence
figures	illustration
kid	juvenile
figured	evaluate
monument	structure
recreated	stimulate
blues	black_music
kin	relative
assesses	body_part
initiation	ceremony
shoddy	wool
drawings	artwork
mingles	change
conflicts	group_action
warlord	military_leader
anonymity	obscurity
charting	map
bounces	elasticity
morbidity	incidence
virtue	good
compulsion	irrational_impulse
punching	hit
types	kind
strokes	maneuver
corrupt	change
technology	application
contours	isometric_line
typed	write
pairing	sexual_activity
stroked	touch
nights	time_period
ones	digit
recreates	stimulate
bluff	bank
compromise	cooperation
brent	goose
reach	limit
backed	approve
fringe	boundary
react	act
foreground	view
calibrated	adjust
hiss	noise
kissing	foreplay
justify	confirm
sight	visual_percept
elbowed	jostle
teeth	set
sisterhood	kinship
sprouts	plant_organ
simulate	reproduce
collar	band
negatives	denial
lending	disposal
thrills	exhilaration
monsters	imaginary_being
joys	emotion
jeopardy	danger
pitfalls	difficulty
seventeen	large_integer
following	multitude
juvenile	person
provoked	make
trudge	hike
stickiness	viscosity
complacency	satisfaction
wear	deterioration
impress	seizure
seeing	perception
martinet	authoritarian
restate	tell
lean	position
provokes	make
assert	insist
pared	decrease
leap	jump
place	point
regular	patron
informed	communicate
deflated	collapse
observation	measurement
entrapment	defense
tired	devolve
tremble	reflex
payoff	payment
lead	advantage
kibbitzes	comment
fraction	chemical
hits	feat
spaceship	spacecraft
expect	evaluate
elegance	quality
tangled	involve
highlights	detail
drying	change
assess	body_part
gentlemen	man
miracles	happening
resembles	match
passage	change_of_state
bombs	explosive_device
sausage	meat
undertones	tone
undercuts	material
routes	line
assets	possession
setups	equipment
armchair	chair
plain	land
describing	set_forth
offal	variety_meat
justice	natural_virtue
pantheon	collection
mechanisms	chemical_process
mileage	distance
individual	causal_agent
comparing	examination
excitement	joy
regards	detail
cadence	poetic_rhythm
blueprint	plan
outrageousness	excess
burrito	dish
person	causal_agent
testimony	evidence
retaliation	return
glitter	brightness
week	time_period
sociology	social_science
musicians	performer
preaching	address
weep	express_emotion
romantics	idealist
bewitched	attract
dragonfly	odonate
ready	readiness
studies	examination
acknowledges	declare
player	contestant
contenders	contestant
orientation	placement
balloon	lighter-than-air_craft
limited	public_transport
match	lighter
rethink	reversal
played	compete
accent	pronunciation
balancing	equalization
clutches	grasping
ladles	vessel
explosive	chemical
prepare	change
bludgeoning	coerce
entwined	join
fifty	large_integer
surgeon	doctor
nowadays	time
copout	failure
smacks	blow
equations	mathematical_statement
twinkling	moment
freshening	regenerate
moviegoer	spectator
eroticism	sexual_arousal
timelessness	being
legs	stamina
endorses	approve
contemplative	person
angling	fishing
solid	matter
narrative	message
circular	ad
relegated	submit
diplomacy	negotiation
latino	american
size	magnitude
left	position
reserved	withhold
temper	annoyance
tormentor	oppressor
downer	drug_of_abuse
eleven	large_integer
imitator	deceiver
object	physical_entity
mined	exploit
infinite	attribute
attics	floor
suffice	satisfy
notable	celebrity
tastelessness	unappetizingness
balanced	match
elect	elite
example	information
minds	cognition
midway	tract
characters	imaginary_being
padre	chaplain
corners	area
balances	equilibrium
shlockmeister	merchant
narcissists	selfish_person
spanning	cover
stirring	agitation
zombie	dead_person
quiet	calmness
policy	plan_of_action
hushed	change
elves	atmospheric_electricity
glucose	aldohexose
address	code
troll	mythical_monster
falters	pause
tie-in	fastener
beliefs	content
accumulates	store
ramble	amble
heightened	increase
police	force
glitz	tastelessness
throw	propulsion
overstuffed	stuff
stature	esteem
thank	convey
fifth	united_states_liquid_unit
accumulated	store
motorized	equip
wheels	machine
portrayals	word_picture
romanced	act
lapping	covering
confront	meet
cathartic	medicine
torturing	persecution
anchoring	fasten
romances	relationship
illiterate	ignoramus
festers	sore
hardened	change
making	production
check	draft
resists	elude
drumming	percussion
sleeper	rester
beacon	visual_signal
survivors	unfortunate
supposed	speculate
warden	lawman
bursting	break
translating	repeat
moaning	utter
lens	optical_device
chefs	cook
society	social_group
expanded	grow
nowhere	obscurity
romantic	idealist
flows	change_of_location
anticipation	expectation
averting	prevention
margarita	cocktail
tutorial	session
reinforcement	operation
dickens	exclamation
spoil	stolen_property
lend	change
infirmity	unfitness
enhancing	intensify
welt	injury
pilot	aviator
ticket	commercial_document
cheek	feature
bisexual	sensualist
swords	weapon
realized	know
concentrate	ore
expose	exposure
cheer	approval
tundra	plain
explosion	discharge
translation	written_record
well	excavation
realizes	know
handling	manual_labor
personnel	organization
splash	noise
ambitions	desire
xerox	copy
porcelain	ceramic_ware
satin	fabric
myth	story
fearing	worry
experiment	scientific_research
implication	inference
consigned	abandon
campion	flower
considering	think
doldrums	inaction
moviegoers	spectator
philosophers	scholar
gaiety	happiness
aimlessness	meaninglessness
bringing	transportation
doofus	simpleton
schools	educational_institution
binary	star
spots	symptom
bleakness	gloom
crazy	lunatic
orders	command
sparking	initiate
huckster	seller
welled	surface
boomers	person
deferred	delay
successor	peer
enlightenment	education
tabloids	journalism
rip-off	robbery
matter	concern
irony	wit
carousel	conveyer_belt
walls	partition
rails	bar
spin-off	product
deckhand	mariner
spout	opening
noise	sound
self-preservation	preservation
succession	temporal_arrangement
product	commodity
stupidity	inability
reminder	message
lover	person
loves	emotion
revels	merrymaking
trots	locomotion
sanitised	clean
produce	food
hates	emotion
hippopotamus	even-toed_ungulate
cheat	rye_grass
walks	locomotion
perfected	better
retooled	reorganize
thanksgiving	feast_day
witch	occultist
wreaked	make
tormented	pain
anecdote	report
holly	angiospermous_tree
roars	noise
spoof	caricature
lingerie	underwear
traveler	person
minor	juvenile
pitted	confront
hostile	military_personnel
yelling	cry
fuel	substance
pleas	entreaty
smuggling	importing
stupidities	inability
lab	workplace
pray	commune
bugged	torment
lad	male
crawl	motion
monologue	speech
nightmares	situation
paean	praise
function	mathematical_relation
lan	computer_network
raise	increase
puberty	time_of_life
hated	dislike
traffic	collection
surfer	swimmer
mindset	attitude
miscast	cast
law	collection
pomposity	inelegance
cliques	set
comparison	examination
clones	double
lay	song
pitched	fling
crave	desire
less	autoimmune_disease
suspects	person
adventure	undertaking
conflicting	contrast
condition	state
improve	change
shining	work
wending	travel
environs	geographical_area
piercing	penetrate
university	body
censure	disapprobation
chatter	talk
technique	method
characterizations	description
levy	charge
wound	injury
sensationalism	message
teacher	educator
existentialism	philosophical_doctrine
repressed	oppress
coincidence	accident
bittersweet	nightshade
floor	horizontal_surface
awakens	change
possibility	expectation
retelling	re-create
sucking	consumption
wounded	people
improbability	uncertainty
realizing	know
distinguished	identify
chooses	decide
opening	space
heartstrings	compassion
gander	goose
doctor	medical_practitioner
derring-do	feat
lengths	dimension
bemused	upset
inflate	increase
lambs	young_mammal
spoken	communicate
dumbness	stupidity
equilibrium	situation
distinguishes	identify
flops	computer_operation
sport	diversion
maintenance	repair
contemporaries	people
trope	rhetorical_device
lingered	persist
prey	victim
lieutenant	commissioned_military_officer
led	diode
absorb	sorb
steers	guidance
supply	indefinite_quantity
resuscitate	bring_to
horrified	frighten
mountain	natural_elevation
integrity	state
docs	medical_practitioner
pact	written_agreement
merge	integrate
advises	hash_out
les	autoimmune_disease
press	urgency
dough	concoction
unmentionable	garment
cares	work
night	time_period
pace	rate
ballet	stage_dancing
vulnerability	danger
courtesy	politeness
pack	large_indefinite_quantity
patchwork	theory
labels	description
rendered	make
padded	overstate
abhors	hate
supple	change
whirls	movement
metaphors	trope
items	part
bravado	ostentation
villainess	villain
thirty	large_integer
workman	employee
stagings	production
entertainment	diversion
nudity	condition
document	writing
anteing	bet_on
killing	fatality
rapport	affinity
dollars	monetary_unit
proving	be
strains	deformation
scenario	script
does	executive_department
ignites	burn
rewritten	write
divorce	separation
graphic	picture
distortions	damage
situation	state
peekaboo	child
clause	construction
empathy	sympathy
leys	grassland
clad	change_state
dodge	scheme
thirst	drive
refused	react
authenticity	credibility
moods	feeling
solipsism	philosophical_doctrine
refuses	waste
stuffed	cram
producers	maker
claw	horny_structure
admitting	declare
prayer	worship
collapses	illness
clan	social_group
fashion	property
blended	mix
insurance	security
medical	examination
dazzle	brightness
swipes	stroke
principle	generalization
two-thirds	common_fraction
lie	falsehood
statecraft	wisdom
source	point
exhuming	excavate
smell	sensation
blender	mixer
prim	change
separation	state
feathers	animal_material
vitality	energy
lit	literary_study
lushness	abundance
bias	partiality
slapping	strike
dogs	canine
homes	residence
tension	strain
chest	body_part
involves	refer
beatings	fight
caustic	compound
doubt	cognitive_state
bolstered	reinforce
merit	worth
athletes	contestant
develop	create
nurses	health_professional
involved	refer
converted	change
crossroads	community
armenians	asian
aching	pain
hammering	blow
ballroom	room
overall	work-clothing
page	leaf
full	phase_of_the_moon
meanders	curve
pepper	true_pepper
destiny	happening
cards	game
panache	elegance
motivation	psychological_feature
aspects	feature
soured	change_state
millennium	time_period
specter	apparition
dogmatism	intolerance
megalomaniac	egotist
cared	feel_for
squanders	use
triteness	unoriginality
tamer	animal_trainer
wreckage	part
enhance	intensify
convention	meeting
antiseptic	medicine
pain	symptom
critiquing	evaluate
center	area
refusal	denial
titles	heading
advised	hash_out
pair	set
anomie	isolation
manage	succeed
equal	person
upstaged	treat
cooler	refrigerator
gravity	attraction
paid	give
extravaganza	entertainment
veering	turn
funk	depression
titled	name
mesmerize	charm
immortals	celebrity
studio	workplace
parking	room
cheapening	worsen
dilettante	amateur
palm	area
celebrities	important_person
resonances	physical_phenomenon
three	digit
ordeal	experience
premise	postulate
virtuosity	skill
suppression	growth
season	time_period
pale	strip
hardware	weaponry
typifies	typify
trivializes	understate
threw	propel
players	contestant
roads	anchorage
mythology	collection
whimper	complaint
provide	give
slam-dunk	affect
geeks	performer
mick	irishman
preoccupations	idea
chuckling	laugh
primary	election
anarchists	radical
log	wood
enterprise	undertaking
falcon	hawk
accidental	musical_notation
lot	large_indefinite_quantity
glasses	optical_instrument
fuse	electrical_device
computer	machine
pros	athlete
roach	hairdo
wholesale	selling
aided	support
prom	ball
low	air_mass
angels	spiritual_being
indulging	gratification
contradiction	opposition
fuss	agitation
meant	convey
wealth	financial_condition
means	implementation
performers	entertainer
prod	encouragement
initial	letter
fury	anger
baboon	old_world_monkey
contemplation	stare
zealanders	dane
absurdity	nonsense
fellow	male
louts	clumsy_person
awed	frighten
advancing	travel
interests	curiosity
crushing	prevention
door	movable_barrier
quick	area
distinguishing	identify
husband	spouse
experience	education
blasting	make_noise
dodges	scheme
dodger	deceiver
zone	topographic_point
stammers	speech_disorder
minutiae	detail
betters	good
papa	father
intro	informing
affair	concern
combination	collection
sparks	flash
adept	expert
curiosity	cognitive_state
minutes	written_record
sacrifice	act
shriveled	decrease
particular	fact
dong	vietnamese_monetary_unit
puzzling	confuse
pause	time_interval
congratulate	praise
rainbow	bow
residents	inhabitant
expedience	advantage
cohesion	connection
superman	leader
ease	quality
overrun	production
mike	electro-acoustic_transducer
relied	believe
part	relation
mafia	syndicate
insulted	hurt
constructs	idea
jealousy	envy
feminized	change
conversations	speech
notches	indentation
bike	motor_vehicle
principal	debt
elegy	poem
east	cardinal_compass_point
relies	believe
deuces	tie
african-american	american
relief	comfort
elvis	lysergic_acid_diethylamide
park	tract
lisping	pronounce
undergrad	collegian
washed	serve
rhapsodize	tell
aristocrat	leader
zoom	rise
seeking	search
tides	periodic_event
dope	cannabis
ears	sense_organ
economics	social_science
someone	causal_agent
dramas	dramatic_composition
gratitude	feeling
earn	get
terrors	fear
interaction	action
splendour	brightness
persuades	influence
fitting	improvement
bucked	endeavor
gaping	look
agitprop	propaganda
coherence	connection
smiles	facial_expression
reductions	change_of_magnitude
evolved	create_by_mental_act
sketched	draw
boobs	simpleton
compassion	sympathy
beasts	organism
asylum	shelter
lux	illumination_unit
eighties	decade
path	course
crack	opening
bind	hindrance
depending	be
soporific	drug
startled	shock
evolves	create_by_mental_act
sketches	drawing
record	evidence
grotesque	art
zingers	remark
prevention	hindrance
accepting	evaluate
pass	accomplishment
mile	linear_unit
past	time
profile	chart
mourning	sadness
milk	beverage
bill	legal_document
dorm	building
eclipses	interruption
bile	digestive_juice
mill	plant
bucket	vessel
hokum	message
dose	medicine
scandals	gossip
bathing	diversion
lesbian	homosexual
profiling	identification
eats	fare
crafting	fashion
assigned	appoint
smear	defamation
adult	person
relative	person
monte	card_game
thriller	adventure_story
hypocrisies	pretense
bloated	swell
thrilled	stimulate
annoyed	displease
thrives	grow
chafing	tenderness
mine	excavation
dramatized	write
mind	cognition
mini	skirt
dots	disk
reverence	emotion
emergence	beginning
apartheid	social_policy
disorientated	confuse
involve	refer
requisite	thing
elude	escape
touches	contact
forcefulness	intensity
multiplex	telecommunication
retrograde	orb
showcase	setting
disintegrating	change_integrity
platitudes	remark
slobbering	salivate
added	increase
gunfight	fight
